64996386		A.C.T.H. BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Non commercialisée	
68586203	17 B ESTRADIOL BESINS-ISCOVESCO 0,06 POUR CENT, gel pour application cutanée en tube	gel pour application	transdermique	Autorisation archivée	Procédure nationale	Non commercialisée	
63068541	5-MONONITRATE D'ISOSORBIDE ETHYPHARM LP 20 mg, gélule à libération prolongée	gélule à libération prolongée	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
68166740	5-MONONITRATE D'ISOSORBIDE ETHYPHARM LP 40 mg, gélule à libération prolongée	gélule à libération prolongée	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
69681953	5-MONONITRATE D'ISOSORBIDE ETHYPHARM LP 60 mg, gélule à libération prolongée	gélule à libération prolongée	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
61266250	A 313 200 000 UI POUR CENT, pommade	pommade	cutanée	Autorisation active	Procédure nationale	Commercialisée	0169560
62869109	A 313 50 000 U.I., capsule molle	capsule molle	orale	Autorisation active	Procédure nationale	Commercialisée	0241594
61855042	A B I, émulsion pour application locale	émulsion pour application	cutanée	Autorisation abrogée	Procédure nationale	Non commercialisée	
69103878	A.D.N. BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
65854742	A.R.N. BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Non commercialisée	
61876780	ABACAVIR ARROW 300 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale	Autorisation active	Procédure décentralisée	Commercialisée	0415564
61679174	ABACAVIR DEXTREG 300 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0328967
63797011	ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale	Autorisation active	Procédure décentralisée	Commercialisée	0432378
62401060	ABACAVIR VIATRIS 300 mg, comprimé pelliculé sécable	comprimé pelliculé sécable	orale	Autorisation active	Procédure décentralisée	Commercialisée	0414386
68257528	ABACAVIR/LAMIVUDINE ACCORD 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Non commercialisée	0411106
62828870	ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0415565
63431640	ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	0413413
66730224	ABACAVIR/LAMIVUDINE DEXTREG 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0360134
65196479	ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0414895
63011387	ABACAVIR/LAMIVUDINE PHAROS 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0288886
67720261	ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	0427947
65857902	ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0431030
67567004	ABACAVIR/LAMIVUDINE VIATRIS 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0428005
62170486	ABACAVIR/LAMIVUDINE VIATRIS GENERIQUES 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Non commercialisée	0442675
62202005	ABACAVIR/LAMIVUDINE ZENTIVA 600 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0415337
63152345	ABACAVIR/LAMIVUDINE/ZIDOVUDINE VIATRIS 300 mg/150 mg/300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0413131
63166697	ABASAGLAR 100 unités/mL TEMPO PEN, solution injectable en stylo prérempli	solution injectable	sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
